Date,Value,Notes
2026-04-05,YES_MANUAL,
2026-04-04,YES_MANUAL,
2026-04-03,YES_MANUAL,
2026-04-01,YES_MANUAL,
2026-03-31,YES_MANUAL,
2026-03-30,YES_MANUAL,
2026-03-28,YES_MANUAL,
2026-03-26,YES_MANUAL,
2026-03-25,YES_MANUAL,
2026-03-24,YES_MANUAL,
2026-03-23,YES_MANUAL,
2026-03-22,YES_MANUAL,
2026-03-21,YES_MANUAL,
2026-03-19,YES_MANUAL,
2026-03-14,YES_MANUAL,
2026-03-13,YES_MANUAL,
2026-03-12,YES_MANUAL,
2026-02-10,YES_MANUAL,
2026-02-04,YES_MANUAL,
2025-12-27,YES_MANUAL,
2025-12-20,YES_MANUAL,
2025-12-08,YES_MANUAL,
2025-12-07,YES_MANUAL,
2025-12-06,YES_MANUAL,
2025-12-05,YES_MANUAL,
2025-11-29,YES_MANUAL,
2025-11-27,YES_MANUAL,
2025-11-01,YES_MANUAL,
2025-10-25,YES_MANUAL,
2025-10-23,YES_MANUAL,
2025-10-11,YES_MANUAL,
2025-10-09,YES_MANUAL,
2025-10-06,YES_MANUAL,
2025-09-25,YES_MANUAL,
2025-09-24,YES_MANUAL,
2025-09-18,YES_MANUAL,
2025-09-14,YES_MANUAL,
2025-09-06,YES_MANUAL,
2025-09-03,YES_MANUAL,
2025-08-30,YES_MANUAL,
2025-08-28,YES_MANUAL,
2025-08-09,YES_MANUAL,
2025-08-07,YES_MANUAL,
2025-07-19,YES_MANUAL,
2025-07-17,YES_MANUAL,
2025-07-12,YES_MANUAL,
2025-07-10,YES_MANUAL,
2025-07-05,YES_MANUAL,
2025-07-03,YES_MANUAL,
2025-07-02,YES_MANUAL,
2025-06-28,YES_MANUAL,
2025-06-21,YES_MANUAL,
2025-06-19,YES_MANUAL,
2025-06-16,YES_MANUAL,
2025-06-07,YES_MANUAL,
2025-06-06,YES_MANUAL,
2025-06-05,YES_MANUAL,
2025-06-04,YES_MANUAL,
2025-06-03,YES_MANUAL,
2025-06-01,YES_MANUAL,
2025-05-31,YES_MANUAL,
2025-05-23,YES_MANUAL,
2025-05-22,YES_MANUAL,
2025-05-17,YES_MANUAL,
2025-05-15,YES_MANUAL,
2025-05-10,YES_MANUAL,
2025-05-03,YES_MANUAL,
2025-05-01,YES_MANUAL,
2025-04-24,YES_MANUAL,
2025-04-19,YES_MANUAL,
2025-04-17,YES_MANUAL,
2025-04-10,YES_MANUAL,
2025-03-06,YES_MANUAL,
2025-02-28,YES_MANUAL,
2025-02-05,NO,
2024-12-17,YES_MANUAL,
2024-10-16,YES_MANUAL,
2024-10-02,YES_MANUAL,
2024-10-01,YES_MANUAL,
2024-09-30,YES_MANUAL,
2024-09-29,YES_MANUAL,
2024-09-28,YES_MANUAL,
2024-09-27,YES_MANUAL,
2024-09-26,YES_MANUAL,
2024-09-25,YES_MANUAL,
2024-09-24,YES_MANUAL,
2024-09-23,YES_MANUAL,
2024-09-22,YES_MANUAL,
2024-09-21,YES_MANUAL,
2024-09-20,YES_MANUAL,
2024-09-18,YES_MANUAL,
2024-09-17,YES_MANUAL,
2024-09-16,YES_MANUAL,
2024-09-15,YES_MANUAL,
