Date,Score
2026-04-09,0.7138
2026-04-08,0.7529
2026-04-07,0.7394
2026-04-06,0.7251
2026-04-05,0.7101
2026-04-04,0.6942
2026-04-03,0.6774
2026-04-02,0.7145
2026-04-01,0.6989
2026-03-31,0.6824
2026-03-30,0.6650
2026-03-29,0.6467
2026-03-28,0.6821
2026-03-27,0.6647
2026-03-26,0.7011
2026-03-25,0.6847
2026-03-24,0.6674
2026-03-23,0.6492
2026-03-22,0.6300
2026-03-21,0.6097
2026-03-20,0.5884
2026-03-19,0.5658
2026-03-18,0.5421
2026-03-17,0.5170
2026-03-16,0.5453
2026-03-15,0.5752
2026-03-14,0.5519
2026-03-13,0.5821
2026-03-12,0.5592
2026-03-11,0.5351
2026-03-10,0.5096
2026-03-09,0.5375
2026-03-08,0.5670
2026-03-07,0.5980
2026-03-06,0.5760
2026-03-05,0.5528
2026-03-04,0.5831
2026-03-03,0.5602
2026-03-02,0.5361
2026-03-01,0.5655
2026-02-28,0.5965
2026-02-27,0.5744
2026-02-26,0.5511
2026-02-25,0.5812
2026-02-24,0.5583
2026-02-23,0.5889
2026-02-22,0.5664
2026-02-21,0.5974
2026-02-20,0.5753
2026-02-19,0.5521
2026-02-18,0.5276
2026-02-17,0.5017
2026-02-16,0.5292
2026-02-15,0.5581
2026-02-14,0.5339
2026-02-13,0.5084
2026-02-12,0.4815
2026-02-11,0.5079
2026-02-10,0.5357
2026-02-09,0.5102
2026-02-08,0.5382
2026-02-07,0.5677
2026-02-06,0.5440
2026-02-05,0.5190
2026-02-04,0.4927
2026-02-03,0.4649
2026-02-02,0.4356
2026-02-01,0.4594
2026-01-31,0.4846
2026-01-30,0.4564
2026-01-29,0.4814
2026-01-28,0.4530
2026-01-27,0.4230
2026-01-26,0.3914
2026-01-25,0.4128
2026-01-24,0.4354
2026-01-23,0.4045
2026-01-22,0.3719
2026-01-21,0.3375
2026-01-20,0.3012
2026-01-19,0.3177
2026-01-18,0.3351
2026-01-17,0.3535
2026-01-16,0.3181
2026-01-15,0.2807
2026-01-14,0.2961
2026-01-13,0.2575
2026-01-12,0.2716
2026-01-11,0.2865
2026-01-10,0.3022
2026-01-09,0.3188
2026-01-08,0.3362
2026-01-07,0.3546
2026-01-06,0.3741
2026-01-05,0.3945
2026-01-04,0.4162
2026-01-03,0.4389
2026-01-02,0.4630
2026-01-01,0.4883
2025-12-31,0.4603
2025-12-30,0.4855
2025-12-29,0.4574
2025-12-28,0.4276
2025-12-27,0.4511
2025-12-26,0.4210
2025-12-25,0.4440
2025-12-24,0.4136
2025-12-23,0.3815
2025-12-22,0.4024
2025-12-21,0.4244
2025-12-20,0.4477
2025-12-19,0.4174
2025-12-18,0.4403
2025-12-17,0.4096
2025-12-16,0.4321
2025-12-15,0.4009
2025-12-14,0.4229
2025-12-13,0.3913
2025-12-12,0.4127
2025-12-11,0.4353
2025-12-10,0.4592
2025-12-09,0.4843
2025-12-08,0.4561
2025-12-07,0.4811
2025-12-06,0.5074
2025-12-05,0.4804
2025-12-04,0.5067
2025-12-03,0.4797
2025-12-02,0.5060
2025-12-01,0.4789
2025-11-30,0.5052
2025-11-29,0.5328
2025-11-28,0.5073
2025-11-27,0.5350
2025-11-26,0.5096
2025-11-25,0.5375
2025-11-24,0.5121
2025-11-23,0.5402
2025-11-22,0.5698
2025-11-21,0.5462
2025-11-20,0.5761
2025-11-19,0.5529
2025-11-18,0.5832
2025-11-17,0.6151
2025-11-16,0.6488
2025-11-15,0.6844
2025-11-14,0.6671
2025-11-13,0.7036
2025-11-12,0.6874
2025-11-11,0.6702
2025-11-10,0.7070
2025-11-09,0.6909
2025-11-08,0.6740
2025-11-07,0.6561
2025-11-06,0.6921
2025-11-05,0.6752
2025-11-04,0.6574
2025-11-03,0.6386
2025-11-02,0.6736
2025-11-01,0.6557
2025-10-31,0.6369
2025-10-30,0.6170
2025-10-29,0.5960
2025-10-28,0.6287
2025-10-27,0.6083
2025-10-26,0.6416
2025-10-25,0.6768
2025-10-24,0.6591
2025-10-23,0.6404
2025-10-22,0.6207
2025-10-21,0.5999
2025-10-20,0.5780
2025-10-19,0.6097
2025-10-18,0.6431
2025-10-17,0.6235
2025-10-16,0.6029
2025-10-15,0.6359
2025-10-14,0.6160
2025-10-13,0.5950
2025-10-12,0.6276
