Date,Value,Notes
2026-04-08,YES_MANUAL,
2026-04-07,YES_MANUAL,
2026-04-06,YES_MANUAL,
2026-04-05,YES_MANUAL,
2026-04-04,YES_MANUAL,
2026-04-03,YES_MANUAL,
2026-04-02,YES_MANUAL,
2026-04-01,YES_MANUAL,
2026-03-31,YES_MANUAL,
2026-03-30,YES_MANUAL,
2026-03-28,YES_MANUAL,
2026-03-27,YES_MANUAL,
2026-03-26,YES_MANUAL,
2026-03-25,YES_MANUAL,
2026-03-24,YES_MANUAL,
2026-03-23,YES_MANUAL,
2026-03-22,YES_MANUAL,
2026-03-21,YES_MANUAL,
2026-03-20,YES_MANUAL,
2026-03-18,YES_MANUAL,
2026-03-16,YES_MANUAL,
2026-03-15,YES_MANUAL,
2026-03-14,YES_MANUAL,
2026-03-13,YES_MANUAL,
2026-03-12,YES_MANUAL,
2026-03-11,YES_MANUAL,
2026-03-08,YES_MANUAL,
2026-03-07,YES_MANUAL,
2026-03-06,YES_MANUAL,
2026-03-04,YES_MANUAL,
2026-03-03,YES_MANUAL,
2026-02-28,YES_MANUAL,
2026-02-27,YES_MANUAL,
2026-02-26,YES_MANUAL,
2026-02-25,YES_MANUAL,
2026-02-23,YES_MANUAL,
2026-02-21,YES_MANUAL,
2026-02-20,YES_MANUAL,
2026-02-19,YES_MANUAL,
2026-02-18,YES_MANUAL,
2026-02-16,NO,
2026-02-15,YES_MANUAL,
2026-02-14,YES_MANUAL,
2026-02-13,YES_MANUAL,
2026-02-10,YES_MANUAL,
2026-02-07,YES_MANUAL,
2026-02-06,YES_MANUAL,
2026-02-05,YES_MANUAL,
2026-02-04,YES_MANUAL,
2026-02-03,YES_MANUAL,
2026-01-31,YES_MANUAL,
2026-01-30,YES_MANUAL,
2026-01-29,YES_MANUAL,
2026-01-28,YES_MANUAL,
2026-01-27,YES_MANUAL,
2026-01-24,YES_MANUAL,
2026-01-23,YES_MANUAL,
2026-01-22,YES_MANUAL,
2026-01-21,YES_MANUAL,
2026-01-17,YES_MANUAL,
2026-01-16,YES_MANUAL,
2026-01-14,YES_MANUAL,
2026-01-08,NO,
2026-01-07,YES_MANUAL,
2026-01-01,YES_MANUAL,
2025-12-30,YES_MANUAL,
2025-12-29,YES_MANUAL,
2025-12-27,YES_MANUAL,
2025-12-25,YES_MANUAL,
2025-12-24,YES_MANUAL,
2025-12-23,YES_MANUAL,
2025-12-20,YES_MANUAL,
2025-12-18,YES_MANUAL,
2025-12-17,YES_MANUAL,
2025-12-16,YES_MANUAL,
2025-12-14,YES_MANUAL,
2025-12-10,YES_MANUAL,
2025-12-09,YES_MANUAL,
2025-12-07,NO,
2025-12-06,YES_MANUAL,
2025-12-04,YES_MANUAL,
2025-12-03,YES_MANUAL,
2025-12-02,YES_MANUAL,
2025-11-29,YES_MANUAL,
2025-11-28,YES_MANUAL,
2025-11-27,YES_MANUAL,
2025-11-25,YES_MANUAL,
2025-11-22,YES_MANUAL,
2025-11-20,YES_MANUAL,
2025-11-15,YES_MANUAL,
2025-11-13,YES_MANUAL,
2025-11-12,YES_MANUAL,
2025-11-10,YES_MANUAL,
2025-11-09,YES_MANUAL,
2025-11-08,YES_MANUAL,
2025-11-07,YES_MANUAL,
2025-11-06,YES_MANUAL,
2025-11-05,YES_MANUAL,
2025-11-04,YES_MANUAL,
2025-11-02,YES_MANUAL,
2025-11-01,YES_MANUAL,
2025-10-31,YES_MANUAL,
2025-10-30,YES_MANUAL,
2025-10-29,YES_MANUAL,
2025-10-28,YES_MANUAL,
2025-10-25,YES_MANUAL,
2025-10-24,YES_MANUAL,
2025-10-23,YES_MANUAL,
2025-10-22,YES_MANUAL,
2025-10-21,YES_MANUAL,
2025-10-18,YES_MANUAL,
2025-10-17,YES_MANUAL,
2025-10-16,YES_MANUAL,
2025-10-15,YES_MANUAL,
2025-10-14,YES_MANUAL,
2025-10-12,YES_MANUAL,
2025-10-11,YES_MANUAL,
2025-10-09,YES_MANUAL,
2025-10-08,YES_MANUAL,
2025-10-07,YES_MANUAL,
2025-10-06,YES_MANUAL,
2025-10-05,YES_MANUAL,
