Date,Score
2026-04-09,0.8051
2026-04-08,0.8492
2026-04-07,0.8410
2026-04-06,0.8323
2026-04-05,0.8231
2026-04-04,0.8134
2026-04-03,0.8032
2026-04-02,0.7924
2026-04-01,0.7810
2026-03-31,0.7690
2026-03-30,0.7564
2026-03-29,0.7430
2026-03-28,0.7837
2026-03-27,0.7719
2026-03-26,0.7594
2026-03-25,0.7462
2026-03-24,0.7323
2026-03-23,0.7177
2026-03-22,0.7022
2026-03-21,0.6859
2026-03-20,0.6687
2026-03-19,0.6506
2026-03-18,0.6862
2026-03-17,0.6690
2026-03-16,0.7056
2026-03-15,0.6895
2026-03-14,0.6725
2026-03-13,0.6546
2026-03-12,0.6357
2026-03-11,0.6157
2026-03-10,0.5947
2026-03-09,0.6272
2026-03-08,0.6616
2026-03-07,0.6430
2026-03-06,0.6235
2026-03-05,0.6029
2026-03-04,0.6359
2026-03-03,0.6159
2026-03-02,0.5949
2026-03-01,0.6275
2026-02-28,0.6618
2026-02-27,0.6433
2026-02-26,0.6238
2026-02-25,0.6032
2026-02-24,0.5815
2026-02-23,0.6133
2026-02-22,0.5921
2026-02-21,0.6246
2026-02-20,0.6040
2026-02-19,0.5823
2026-02-18,0.5594
2026-02-17,0.5353
2026-02-16,0.5646
2026-02-15,0.5955
2026-02-14,0.5734
2026-02-13,0.5500
2026-02-12,0.5254
2026-02-11,0.5542
2026-02-10,0.5845
2026-02-09,0.5618
2026-02-08,0.5925
2026-02-07,0.6250
2026-02-06,0.6044
2026-02-05,0.5828
2026-02-04,0.5599
2026-02-03,0.5358
2026-02-02,0.5104
2026-02-01,0.5383
2026-01-31,0.5678
2026-01-30,0.5442
2026-01-29,0.5192
2026-01-28,0.4929
2026-01-27,0.4651
2026-01-26,0.4358
2026-01-25,0.4597
2026-01-24,0.4848
2026-01-23,0.4566
2026-01-22,0.4269
2026-01-21,0.3955
2026-01-20,0.3624
2026-01-19,0.3822
2026-01-18,0.4031
2026-01-17,0.4252
2026-01-16,0.3937
2026-01-15,0.3605
2026-01-14,0.3803
2026-01-13,0.3463
2026-01-12,0.3653
2026-01-11,0.3853
2026-01-10,0.4064
2026-01-09,0.4287
2026-01-08,0.4522
2026-01-07,0.4769
2026-01-06,0.4483
2026-01-05,0.4728
2026-01-04,0.4987
2026-01-03,0.5260
2026-01-02,0.5548
2026-01-01,0.5852
2025-12-31,0.5625
2025-12-30,0.5933
2025-12-29,0.5710
2025-12-28,0.5475
2025-12-27,0.5775
2025-12-26,0.5544
2025-12-25,0.5848
2025-12-24,0.5620
2025-12-23,0.5380
2025-12-22,0.5127
2025-12-21,0.5408
2025-12-20,0.5704
2025-12-19,0.5469
2025-12-18,0.5769
2025-12-17,0.5537
2025-12-16,0.5292
2025-12-15,0.5035
2025-12-14,0.5310
2025-12-13,0.5053
2025-12-12,0.5330
2025-12-11,0.5622
2025-12-10,0.5930
2025-12-09,0.5707
2025-12-08,0.5472
2025-12-07,0.5772
2025-12-06,0.6088
2025-12-05,0.5874
2025-12-04,0.6195
2025-12-03,0.5987
2025-12-02,0.5767
2025-12-01,0.5535
2025-11-30,0.5838
2025-11-29,0.6158
2025-11-28,0.5948
2025-11-27,0.5726
2025-11-26,0.5492
2025-11-25,0.5793
2025-11-24,0.5562
2025-11-23,0.5867
2025-11-22,0.6188
2025-11-21,0.5979
2025-11-20,0.6307
2025-11-19,0.6104
2025-11-18,0.6439
2025-11-17,0.6791
2025-11-16,0.7163
2025-11-15,0.7556
2025-11-14,0.7422
2025-11-13,0.7828
2025-11-12,0.7709
2025-11-11,0.7584
2025-11-10,0.7999
2025-11-09,0.7890
2025-11-08,0.7774
2025-11-07,0.7652
