Date,Value,Notes
2026-04-08,YES_MANUAL,
2026-04-03,YES_MANUAL,
2026-03-29,YES_MANUAL,
2026-03-28,YES_MANUAL,
2026-03-27,YES_MANUAL,
2026-03-25,YES_MANUAL,
2026-03-21,NO,
2026-03-20,YES_MANUAL,
2026-03-17,YES_MANUAL,
2026-03-14,YES_MANUAL,
2026-03-13,NO,
2026-03-11,YES_MANUAL,
2026-03-09,YES_MANUAL,
2026-03-08,NO,
2026-03-05,YES_MANUAL,
2026-03-01,YES_MANUAL,
2026-02-28,NO,
2026-02-26,YES_MANUAL,
2026-02-21,YES_MANUAL,
2026-02-20,NO,
2026-02-18,YES_MANUAL,
2026-02-14,YES_MANUAL,
2026-02-13,NO,
2026-02-09,YES_MANUAL,
2026-02-06,YES_MANUAL,
2026-01-26,YES_MANUAL,
2026-01-22,YES_MANUAL,
2026-01-19,YES_MANUAL,
2026-01-18,NO,
2026-01-14,YES_MANUAL,
2026-01-11,YES_MANUAL,
2026-01-09,YES_MANUAL,
2026-01-03,YES_MANUAL,
2026-01-01,NO,
2025-12-31,YES_MANUAL,
2025-12-27,NO,
2025-12-26,YES_MANUAL,
2025-12-25,YES_MANUAL,
2025-12-21,YES_MANUAL,
2025-12-19,YES_MANUAL,
2025-12-18,NO,
2025-12-16,YES_MANUAL,
2025-12-10,YES_MANUAL,
2025-12-06,YES_MANUAL,
2025-12-04,NO,
2025-12-01,YES_MANUAL,
2025-11-26,YES_MANUAL,
2025-11-22,YES_MANUAL,
2025-11-20,NO,
2025-11-17,YES_MANUAL,
2025-11-16,NO,
2025-11-15,YES_MANUAL,
2025-11-13,YES_MANUAL,
2025-11-08,NO,
2025-11-07,YES_MANUAL,
2025-11-05,YES_MANUAL,
2025-11-01,YES_MANUAL,
2025-10-28,YES_MANUAL,
2025-10-25,YES_MANUAL,
2025-10-23,YES_MANUAL,
2025-10-16,YES_MANUAL,
2025-10-14,YES_MANUAL,
2025-10-11,NO,
2025-10-09,YES_MANUAL,
2025-10-06,YES_MANUAL,
2025-10-02,YES_MANUAL,
2025-10-01,NO,
2025-09-30,NO,
2025-09-29,YES_MANUAL,
2025-09-24,YES_MANUAL,
2025-09-18,NO,
2025-09-15,YES_MANUAL,
2025-09-13,NO,
2025-09-11,YES_MANUAL,
2025-09-09,YES_MANUAL,
2025-09-08,YES_MANUAL,
2025-09-07,YES_MANUAL,
2025-09-04,YES_MANUAL,
2025-09-02,YES_MANUAL,
2025-08-30,YES_MANUAL,
2025-08-28,YES_MANUAL,
2025-08-27,YES_MANUAL,
2025-08-26,NO,
2025-08-25,YES_MANUAL,
2025-08-18,YES_MANUAL,
2025-08-15,YES_MANUAL,
2025-08-10,YES_MANUAL,
2025-08-02,YES_MANUAL,
2025-08-01,YES_MANUAL,
2025-07-31,YES_MANUAL,
2025-07-28,YES_MANUAL,
2025-07-27,YES_MANUAL,
2025-07-22,NO,
2025-07-21,YES_MANUAL,
2025-07-17,YES_MANUAL,
2025-07-15,YES_MANUAL,
2025-07-11,YES_MANUAL,
2025-07-09,YES_MANUAL,
2025-07-06,YES_MANUAL,
2025-07-03,YES_MANUAL,
2025-06-30,YES_MANUAL,
2025-06-29,NO,
2025-06-25,YES_MANUAL,
2025-06-23,YES_MANUAL,
2025-06-21,YES_MANUAL,
2025-06-19,NO,
2025-06-16,YES_MANUAL,
2025-06-15,NO,
2025-06-14,YES_MANUAL,
2025-06-12,YES_MANUAL,
2025-06-10,YES_MANUAL,
2025-06-06,YES_MANUAL,
2025-06-05,YES_MANUAL,
2025-06-02,YES_MANUAL,
2025-05-31,YES_MANUAL,
2025-05-27,YES_MANUAL,
2025-05-21,YES_MANUAL,
2025-05-16,YES_MANUAL,
2025-05-13,YES_MANUAL,
2025-05-10,YES_MANUAL,
2025-05-08,YES_MANUAL,
2025-05-01,YES_MANUAL,
2025-04-28,YES_MANUAL,
2025-04-26,YES_MANUAL,
2025-04-25,YES_MANUAL,
2025-04-22,YES_MANUAL,
2025-04-19,YES_MANUAL,
2025-04-17,NO,
2025-04-16,NO,
2025-04-15,YES_MANUAL,
2025-04-11,YES_MANUAL,
2025-04-04,YES_MANUAL,
2025-04-01,YES_MANUAL,
2025-03-29,YES_MANUAL,
2025-03-26,YES_MANUAL,
2025-03-24,YES_MANUAL,
2025-03-23,YES_MANUAL,
2025-03-22,YES_MANUAL,
2025-03-19,NO,
2025-03-18,YES_MANUAL,
2025-03-12,YES_MANUAL,
2025-03-08,YES_MANUAL,
2025-03-06,NO,
2025-02-25,YES_MANUAL,
2025-02-22,YES_MANUAL,
2025-02-19,YES_MANUAL,
2025-02-15,YES_MANUAL,
2025-02-12,YES_MANUAL,
2025-02-11,NO,
2025-02-10,YES_MANUAL,
2025-02-09,YES_MANUAL,
2025-02-08,YES_MANUAL,
2025-02-06,YES_MANUAL,
2025-02-05,YES_MANUAL,
2025-02-04,YES_MANUAL,
2025-02-01,NO,
2025-01-26,YES_MANUAL,
2025-01-24,NO,
