Date,Score
2026-04-09,0.3005
2026-04-08,0.3169
2026-04-07,0.2795
2026-04-06,0.2948
2026-04-05,0.3110
2026-04-04,0.3280
2026-04-03,0.3460
2026-04-02,0.3102
2026-04-01,0.3271
2026-03-31,0.3451
2026-03-30,0.3640
2026-03-29,0.3839
2026-03-28,0.3501
2026-03-27,0.3146
2026-03-26,0.2770
2026-03-25,0.2922
2026-03-24,0.2534
2026-03-23,0.2673
2026-03-22,0.2819
2026-03-21,0.2974
2026-03-20,0.3137
2026-03-19,0.2761
2026-03-18,0.2912
2026-03-17,0.3071
2026-03-16,0.2692
2026-03-15,0.2839
2026-03-14,0.2995
2026-03-13,0.2611
2026-03-12,0.2754
2026-03-11,0.2905
2026-03-10,0.2517
2026-03-09,0.2654
2026-03-08,0.2252
2026-03-07,0.2376
2026-03-06,0.2506
2026-03-05,0.2643
2026-03-04,0.2240
2026-03-03,0.2363
2026-03-02,0.2492
2026-03-01,0.2628
2026-02-28,0.2225
2026-02-27,0.2347
2026-02-26,0.2475
2026-02-25,0.2063
2026-02-24,0.2176
2026-02-23,0.2295
2026-02-22,0.2421
2026-02-21,0.2553
2026-02-20,0.2146
2026-02-19,0.2263
2026-02-18,0.2387
2026-02-17,0.1970
2026-02-16,0.2078
2026-02-15,0.2192
2026-02-14,0.2312
2026-02-13,0.1891
2026-02-12,0.1994
2026-02-11,0.2104
2026-02-10,0.2219
2026-02-09,0.2340
2026-02-08,0.1921
2026-02-07,0.2026
2026-02-06,0.2137
2026-02-05,0.1706
2026-02-04,0.1800
2026-02-03,0.1898
2026-02-02,0.2002
2026-02-01,0.2112
2026-01-31,0.2228
2026-01-30,0.2350
2026-01-29,0.2478
2026-01-28,0.2614
2026-01-27,0.2757
2026-01-26,0.2908
2026-01-25,0.2520
2026-01-24,0.2658
2026-01-23,0.2803
2026-01-22,0.2957
2026-01-21,0.2571
2026-01-20,0.2712
2026-01-19,0.2861
2026-01-18,0.2470
2026-01-17,0.2605
2026-01-16,0.2747
2026-01-15,0.2898
2026-01-14,0.3057
2026-01-13,0.2676
2026-01-12,0.2823
2026-01-11,0.2978
2026-01-10,0.2593
2026-01-09,0.2735
2026-01-08,0.2337
2026-01-07,0.2465
2026-01-06,0.2600
2026-01-05,0.2742
2026-01-04,0.2893
2026-01-03,0.3051
2026-01-02,0.2671
2026-01-01,0.2817
2025-12-31,0.2971
2025-12-30,0.2586
2025-12-29,0.2728
2025-12-28,0.2877
2025-12-27,0.3035
2025-12-26,0.3201
2025-12-25,0.2828
2025-12-24,0.2436
2025-12-23,0.2569
2025-12-22,0.2710
2025-12-21,0.2858
2025-12-20,0.2467
2025-12-19,0.2602
2025-12-18,0.2197
2025-12-17,0.2317
2025-12-16,0.2444
2025-12-15,0.2031
2025-12-14,0.2142
2025-12-13,0.2259
2025-12-12,0.2383
2025-12-11,0.2513
2025-12-10,0.2651
2025-12-09,0.2248
2025-12-08,0.2372
2025-12-07,0.2501
2025-12-06,0.2638
2025-12-05,0.2235
2025-12-04,0.2358
2025-12-03,0.2487
2025-12-02,0.2623
2025-12-01,0.2767
2025-11-30,0.2370
2025-11-29,0.2500
2025-11-28,0.2637
2025-11-27,0.2782
2025-11-26,0.2934
2025-11-25,0.2547
2025-11-24,0.2686
2025-11-23,0.2834
2025-11-22,0.2989
2025-11-21,0.2605
