Date,Value,Notes
2026-03-31,YES_MANUAL,
2026-02-20,YES_MANUAL,
2026-01-28,YES_MANUAL,
2025-11-22,YES_MANUAL,
2025-11-14,YES_MANUAL,
2025-10-04,YES_MANUAL,
2025-10-01,YES_MANUAL,
2025-07-22,YES_MANUAL,
2025-07-06,NO,
2025-04-18,YES_MANUAL,
2025-03-29,YES_MANUAL,
2025-03-28,YES_MANUAL,
2025-03-27,YES_MANUAL,
2024-12-22,YES_MANUAL,
2024-12-21,YES_MANUAL,
2024-12-20,YES_MANUAL,
2024-12-19,YES_MANUAL,
2024-12-18,YES_MANUAL,
2024-12-17,YES_MANUAL,
2024-12-15,YES_MANUAL,
2024-12-14,YES_MANUAL,
2024-12-13,YES_MANUAL,
2024-12-12,YES_MANUAL,
2024-12-11,YES_MANUAL,
2024-12-08,YES_MANUAL,
2024-12-05,YES_MANUAL,
2024-12-04,YES_MANUAL,
2024-12-03,YES_MANUAL,
2024-12-02,YES_MANUAL,
2024-11-30,YES_MANUAL,
2024-11-28,YES_MANUAL,
2024-11-26,YES_MANUAL,
2024-11-25,YES_MANUAL,
2024-11-24,YES_MANUAL,
2024-11-23,YES_MANUAL,
2024-11-22,YES_MANUAL,
2024-11-21,YES_MANUAL,
2024-11-20,YES_MANUAL,
2024-11-19,YES_MANUAL,
2024-11-18,YES_MANUAL,
2024-11-17,YES_MANUAL,
2024-11-16,YES_MANUAL,
2024-11-15,YES_MANUAL,
2024-11-14,YES_MANUAL,
2024-11-13,YES_MANUAL,
2024-11-12,YES_MANUAL,
2024-11-11,YES_MANUAL,
2024-11-10,YES_MANUAL,
2024-11-09,YES_MANUAL,
2024-11-08,YES_MANUAL,
2024-11-07,YES_MANUAL,
2024-11-06,YES_MANUAL,
2024-11-05,YES_MANUAL,
2024-11-04,YES_MANUAL,
2024-11-03,YES_MANUAL,
2024-11-02,YES_MANUAL,
2024-11-01,YES_MANUAL,
2024-10-31,YES_MANUAL,
2024-10-30,YES_MANUAL,
2024-10-29,YES_MANUAL,
2024-10-28,YES_MANUAL,
2024-10-27,YES_MANUAL,
2024-10-26,YES_MANUAL,
2024-10-25,YES_MANUAL,
2024-10-24,YES_MANUAL,
2024-10-23,YES_MANUAL,
2024-10-22,YES_MANUAL,
2024-10-21,YES_MANUAL,
2024-10-20,YES_MANUAL,
2024-10-19,YES_MANUAL,
2024-10-18,YES_MANUAL,
2024-10-17,YES_MANUAL,
2024-10-16,YES_MANUAL,
2024-10-15,YES_MANUAL,
2024-10-14,YES_MANUAL,
2024-10-13,YES_MANUAL,
2024-10-12,YES_MANUAL,
2024-10-11,YES_MANUAL,
2024-10-10,YES_MANUAL,
2024-10-09,YES_MANUAL,
2024-10-08,YES_MANUAL,
2024-10-07,YES_MANUAL,
2024-10-06,YES_MANUAL,
2024-10-05,YES_MANUAL,
2024-10-04,YES_MANUAL,
2024-10-03,YES_MANUAL,
2024-10-02,YES_MANUAL,
2024-10-01,YES_MANUAL,
2024-09-30,YES_MANUAL,
2024-09-29,YES_MANUAL,
2024-09-28,YES_MANUAL,
2024-09-27,YES_MANUAL,
2024-09-26,YES_MANUAL,
2024-09-25,YES_MANUAL,
2024-09-24,YES_MANUAL,
2024-09-23,YES_MANUAL,
2024-09-22,YES_MANUAL,
2024-09-21,YES_MANUAL,
2024-09-20,YES_MANUAL,
2024-09-19,YES_MANUAL,
2024-09-18,YES_MANUAL,
2024-09-17,YES_MANUAL,
2024-09-16,YES_MANUAL,
2024-09-15,YES_MANUAL,
2024-09-14,YES_MANUAL,
2024-09-13,YES_MANUAL,
2024-09-12,YES_MANUAL,
2024-09-11,YES_MANUAL,
2024-09-10,YES_MANUAL,
2024-09-09,YES_MANUAL,
2024-09-08,YES_MANUAL,
2024-09-07,YES_MANUAL,
2024-09-06,YES_MANUAL,
2024-09-05,YES_MANUAL,
2024-09-04,YES_MANUAL,
