Date,Score
2026-04-09,0.2620
2026-04-08,0.2764
2026-04-07,0.2915
2026-04-06,0.2527
2026-04-05,0.2665
2026-04-04,0.2811
2026-04-03,0.2965
2026-04-02,0.3128
2026-04-01,0.2751
2026-03-31,0.2354
2026-03-30,0.2483
2026-03-29,0.2619
2026-03-28,0.2215
2026-03-27,0.2336
2026-03-26,0.2464
2026-03-25,0.2599
2026-03-24,0.2194
2026-03-23,0.2314
2026-03-22,0.2441
2026-03-21,0.2027
2026-03-20,0.2138
2026-03-19,0.2255
2026-03-18,0.2378
2026-03-17,0.2509
2026-03-16,0.2646
2026-03-15,0.2791
2026-03-14,0.2944
2026-03-13,0.3105
2026-03-12,0.3275
2026-03-11,0.3454
2026-03-10,0.3096
2026-03-09,0.3265
2026-03-08,0.3444
2026-03-07,0.3633
2026-03-06,0.3832
2026-03-05,0.3494
2026-03-04,0.3138
2026-03-03,0.3310
2026-03-02,0.3491
2026-03-01,0.3682
2026-02-28,0.3884
2026-02-27,0.3549
2026-02-26,0.3743
2026-02-25,0.3948
2026-02-24,0.3617
2026-02-23,0.3267
2026-02-22,0.2898
2026-02-21,0.3057
2026-02-20,0.2677
2026-02-19,0.2823
2026-02-18,0.2978
2026-02-17,0.2593
2026-02-16,0.2736
2026-02-15,0.2885
2026-02-14,0.2496
2026-02-13,0.2632
2026-02-12,0.2777
2026-02-11,0.2929
2026-02-10,0.2541
2026-02-09,0.2681
2026-02-08,0.2827
2026-02-07,0.2982
2026-02-06,0.2598
2026-02-05,0.2740
2026-02-04,0.2890
2026-02-03,0.3048
2026-02-02,0.2668
2026-02-01,0.2814
2026-01-31,0.2968
2026-01-30,0.3130
2026-01-29,0.3302
2026-01-28,0.2935
2026-01-27,0.3096
2026-01-26,0.2718
2026-01-25,0.2867
2026-01-24,0.3024
2026-01-23,0.3189
2026-01-22,0.2816
2026-01-21,0.2970
2026-01-20,0.3133
2026-01-19,0.3305
2026-01-18,0.3486
2026-01-17,0.3676
2026-01-16,0.3330
2026-01-15,0.2965
2026-01-14,0.3127
2026-01-13,0.2751
2026-01-12,0.2901
2026-01-11,0.3060
2026-01-10,0.3228
2026-01-09,0.3405
2026-01-08,0.3591
2026-01-07,0.3788
2026-01-06,0.3995
2026-01-05,0.4214
2026-01-04,0.3897
2026-01-03,0.4111
2026-01-02,0.4336
2026-01-01,0.4573
2025-12-31,0.4276
2025-12-30,0.4510
2025-12-29,0.4757
2025-12-28,0.5018
2025-12-27,0.5293
2025-12-26,0.5035
2025-12-25,0.5311
2025-12-24,0.5601
2025-12-23,0.5361
2025-12-22,0.5107
2025-12-21,0.4839
2025-12-20,0.4556
2025-12-19,0.4258
2025-12-18,0.4491
2025-12-17,0.4737
2025-12-16,0.4449
2025-12-15,0.4145
2025-12-14,0.4372
2025-12-13,0.4611
2025-12-12,0.4863
2025-12-11,0.4582
