Date,Value,Notes
2026-02-08,YES_MANUAL,
2026-02-07,YES_MANUAL,
2026-02-06,YES_MANUAL,
2026-02-05,YES_MANUAL,
2026-02-04,YES_MANUAL,
2026-02-03,YES_MANUAL,
2026-02-02,YES_MANUAL,
2026-02-01,YES_MANUAL,
2026-01-31,YES_MANUAL,
2026-01-30,YES_MANUAL,
2026-01-29,YES_MANUAL,
2026-01-28,YES_MANUAL,
2026-01-21,YES_MANUAL,
2026-01-19,YES_MANUAL,
2026-01-07,YES_MANUAL,
2026-01-06,YES_MANUAL,
2026-01-05,YES_MANUAL,
2026-01-04,YES_MANUAL,
2026-01-03,YES_MANUAL,
2026-01-02,YES_MANUAL,
2026-01-01,YES_MANUAL,
2025-12-31,YES_MANUAL,
2025-12-30,NO,
2025-12-29,YES_MANUAL,
2025-12-27,YES_MANUAL,
2025-12-26,YES_MANUAL,
2025-12-25,YES_MANUAL,
2025-12-23,YES_MANUAL,
2025-12-22,YES_MANUAL,
2025-12-21,YES_MANUAL,
2025-12-20,YES_MANUAL,
2025-12-19,YES_MANUAL,
2025-12-18,YES_MANUAL,
2025-12-16,YES_MANUAL,
2025-12-15,YES_MANUAL,
2025-12-13,YES_MANUAL,
2025-12-11,YES_MANUAL,
2025-12-10,YES_MANUAL,
2025-12-09,YES_MANUAL,
2025-12-08,YES_MANUAL,
2025-12-07,YES_MANUAL,
2025-12-02,YES_MANUAL,
2025-12-01,YES_MANUAL,
2025-11-29,YES_MANUAL,
2025-11-27,YES_MANUAL,
2025-11-26,YES_MANUAL,
2025-11-25,YES_MANUAL,
2025-11-23,YES_MANUAL,
2025-11-22,YES_MANUAL,
2025-11-16,YES_MANUAL,
2025-11-15,YES_MANUAL,
2025-11-14,YES_MANUAL,
2025-09-12,YES_MANUAL,
2025-08-13,NO,
2025-07-29,YES_MANUAL,
2025-06-19,YES_MANUAL,
2025-06-18,YES_MANUAL,
2025-06-17,YES_MANUAL,
2025-06-16,YES_MANUAL,
2025-06-15,YES_MANUAL,
2025-06-14,YES_MANUAL,
2025-06-13,YES_MANUAL,
2024-02-26,NO,
2024-02-14,YES_MANUAL,
2023-11-04,YES_MANUAL,
2023-03-27,YES_MANUAL,
2023-01-05,YES_MANUAL,
2022-12-12,YES_MANUAL,
2022-11-28,YES_MANUAL,
2022-11-27,YES_MANUAL,
2022-11-25,YES_MANUAL,
2022-11-23,YES_MANUAL,
2022-11-21,NO,
2022-11-20,YES_MANUAL,
2022-11-12,YES_MANUAL,
2022-11-11,YES_MANUAL,
2022-11-04,YES_MANUAL,
2022-11-03,YES_MANUAL,
2022-11-02,YES_MANUAL,
2022-11-01,YES_MANUAL,
2022-10-31,YES_MANUAL,
2022-10-28,YES_MANUAL,
2022-10-25,YES_MANUAL,
2022-10-23,YES_MANUAL,
2022-10-22,YES_MANUAL,
2022-05-16,NO,
2022-05-14,YES_MANUAL,
2022-05-12,YES_MANUAL,
2022-05-11,YES_MANUAL,
2022-05-03,YES_MANUAL,
2022-05-02,YES_MANUAL,
2022-04-20,YES_MANUAL,
2022-04-19,YES_MANUAL,
2022-04-16,NO,
2022-04-15,YES_MANUAL,
2022-04-14,YES_MANUAL,
2022-04-13,YES_MANUAL,
2022-04-12,YES_MANUAL,
2022-04-11,YES_MANUAL,
2022-04-10,YES_MANUAL,
2022-04-09,YES_MANUAL,
2022-04-08,YES_MANUAL,
2022-04-07,YES_MANUAL,
2022-04-05,YES_MANUAL,
2022-04-04,YES_MANUAL,
