Date,Value,Notes
2026-03-24,NO,
2025-08-01,NO,
2024-11-17,YES_MANUAL,
2024-11-15,YES_MANUAL,
2024-11-12,YES_MANUAL,
2024-11-11,YES_MANUAL,
2024-11-10,YES_MANUAL,
2024-11-08,YES_MANUAL,
2024-11-06,YES_MANUAL,
2024-11-05,YES_MANUAL,
2024-11-03,YES_MANUAL,
2024-09-30,YES_MANUAL,
2024-09-28,YES_MANUAL,
2023-06-29,YES_MANUAL,
2023-06-28,YES_MANUAL,
2023-06-27,YES_MANUAL,
2023-06-26,YES_MANUAL,
2023-06-25,YES_MANUAL,
2023-06-24,YES_MANUAL,
2023-06-22,YES_MANUAL,
2023-06-21,YES_MANUAL,
2023-06-16,YES_MANUAL,
2023-06-15,YES_MANUAL,
2023-06-14,YES_MANUAL,
2023-06-13,YES_MANUAL,
2023-03-22,YES_MANUAL,
2023-03-21,YES_MANUAL,
2023-03-20,YES_MANUAL,
2023-03-19,YES_MANUAL,
2023-03-16,YES_MANUAL,
2023-03-15,YES_MANUAL,
2023-03-14,YES_MANUAL,
2023-03-13,YES_MANUAL,
