Date,Value,Notes
2025-08-07,YES_MANUAL,
2025-08-06,YES_MANUAL,
2025-08-05,YES_MANUAL,
2025-08-03,YES_MANUAL,
2025-08-02,YES_MANUAL,
2025-08-01,YES_MANUAL,
2025-07-31,YES_MANUAL,
2025-07-30,YES_MANUAL,
2025-07-29,YES_MANUAL,
2025-07-28,YES_MANUAL,
2025-07-27,YES_MANUAL,
2025-07-26,YES_MANUAL,
2025-07-25,YES_MANUAL,
2025-07-24,YES_MANUAL,
2025-07-23,YES_MANUAL,
2025-07-22,YES_MANUAL,
2025-07-21,YES_MANUAL,
2025-07-20,YES_MANUAL,
2025-07-19,YES_MANUAL,
2025-07-18,YES_MANUAL,
2025-07-17,YES_MANUAL,
2025-07-16,YES_MANUAL,
2025-07-15,YES_MANUAL,
2025-07-14,YES_MANUAL,
2025-07-13,YES_MANUAL,
2025-07-12,YES_MANUAL,
2025-07-11,YES_MANUAL,
2025-07-10,YES_MANUAL,
2025-07-09,YES_MANUAL,
2025-07-08,YES_MANUAL,
2025-07-07,YES_MANUAL,
2025-07-06,YES_MANUAL,
2025-07-05,YES_MANUAL,
2025-07-04,YES_MANUAL,
2025-07-01,YES_MANUAL,
2025-06-30,YES_MANUAL,
2025-06-28,YES_MANUAL,
2025-06-27,YES_MANUAL,
2025-06-26,YES_MANUAL,
2025-06-25,YES_MANUAL,
2025-06-24,YES_MANUAL,
2025-06-23,YES_MANUAL,
2025-06-22,YES_MANUAL,
2024-12-25,YES_MANUAL,
2024-12-24,YES_MANUAL,
2024-09-28,YES_MANUAL,
2024-09-20,YES_MANUAL,
2024-09-18,YES_MANUAL,
2024-09-13,YES_MANUAL,
2024-09-03,YES_MANUAL,
2024-08-30,YES_MANUAL,
2024-08-29,YES_MANUAL,
2024-08-28,YES_MANUAL,
2024-08-26,YES_MANUAL,
2024-08-25,YES_MANUAL,
2024-08-24,YES_MANUAL,
2024-08-23,YES_MANUAL,
2024-08-22,YES_MANUAL,
2024-08-21,YES_MANUAL,
2024-08-20,YES_MANUAL,
2024-08-19,YES_MANUAL,
2024-08-18,YES_MANUAL,
2024-08-17,YES_MANUAL,
2024-08-16,YES_MANUAL,
2024-08-15,YES_MANUAL,
2024-08-14,YES_MANUAL,
2024-08-13,YES_MANUAL,
2024-08-12,YES_MANUAL,
2024-08-11,YES_MANUAL,
2024-08-10,YES_MANUAL,
2024-08-09,YES_MANUAL,
2024-08-08,YES_MANUAL,
