Date,Value,Notes
2026-03-20,YES_MANUAL,
2026-03-17,YES_MANUAL,
2026-03-09,NO,
2025-12-20,NO,
2025-11-15,YES_MANUAL,
2025-09-20,YES_MANUAL,
2025-08-21,YES_MANUAL,
2025-06-05,YES_MANUAL,
2025-06-01,YES_MANUAL,
2025-03-26,YES_MANUAL,
2025-03-10,YES_MANUAL,
2025-03-06,YES_MANUAL,
2025-02-11,YES_MANUAL,
2025-02-05,NO,
2025-02-01,YES_MANUAL,
2025-01-31,YES_MANUAL,
2025-01-30,YES_MANUAL,
2025-01-29,YES_MANUAL,
2025-01-28,YES_MANUAL,
2025-01-27,YES_MANUAL,
2025-01-26,YES_MANUAL,
2025-01-19,NO,
2025-01-15,YES_MANUAL,
2025-01-14,YES_MANUAL,
2025-01-08,YES_MANUAL,
2025-01-07,YES_MANUAL,
2025-01-06,YES_MANUAL,
2025-01-05,YES_MANUAL,
2025-01-04,YES_MANUAL,
2025-01-03,YES_MANUAL,
2025-01-02,YES_MANUAL,
2025-01-01,YES_MANUAL,
2024-12-31,YES_MANUAL,
2024-12-30,YES_MANUAL,
2024-12-29,YES_MANUAL,
2024-12-27,YES_MANUAL,
2024-12-24,NO,
2024-12-23,YES_MANUAL,
2024-12-22,YES_MANUAL,
2024-12-21,YES_MANUAL,
2024-12-20,YES_MANUAL,
2024-12-17,YES_MANUAL,
2024-12-16,YES_MANUAL,
2024-12-12,YES_MANUAL,
2024-12-10,YES_MANUAL,
2024-12-09,NO,
2024-12-08,YES_MANUAL,
2024-12-07,YES_MANUAL,
2024-12-05,YES_MANUAL,
2024-12-04,NO,
2024-12-03,YES_MANUAL,
2024-12-02,YES_MANUAL,
2024-12-01,YES_MANUAL,
2024-11-30,YES_MANUAL,
2024-11-29,YES_MANUAL,
2024-11-28,YES_MANUAL,
2024-11-27,YES_MANUAL,
2024-11-26,YES_MANUAL,
2024-11-25,YES_MANUAL,
2024-11-24,YES_MANUAL,
2024-11-23,YES_MANUAL,
2024-11-22,YES_MANUAL,
2024-11-20,YES_MANUAL,
2024-11-19,YES_MANUAL,
2024-11-18,YES_MANUAL,
2024-11-15,YES_MANUAL,
2024-11-12,YES_MANUAL,
2024-10-22,YES_MANUAL,
2024-10-16,YES_MANUAL,
2024-10-13,YES_MANUAL,
2024-09-25,YES_MANUAL,
2024-09-24,YES_MANUAL,
2024-09-20,YES_MANUAL,
2024-09-18,YES_MANUAL,
2024-09-17,YES_MANUAL,
2024-09-16,YES_MANUAL,
2024-09-14,YES_MANUAL,
2024-09-13,YES_MANUAL,
2024-09-12,YES_MANUAL,
2024-09-11,YES_MANUAL,
2024-09-10,YES_MANUAL,
2024-09-09,YES_MANUAL,
2024-09-03,NO,
2024-08-22,YES_MANUAL,
2024-08-21,YES_MANUAL,
2024-08-14,YES_MANUAL,
2024-08-13,YES_MANUAL,
2024-08-05,YES_MANUAL,
