Date,Score
2026-04-09,0.6921
2026-04-08,0.7300
2026-04-07,0.7153
2026-04-06,0.6997
2026-04-05,0.6832
2026-04-04,0.7206
2026-04-03,0.7053
2026-04-02,0.7440
2026-04-01,0.7299
2026-03-31,0.7151
2026-03-30,0.6995
2026-03-29,0.6831
2026-03-28,0.6657
2026-03-27,0.6474
2026-03-26,0.6829
2026-03-25,0.7203
2026-03-24,0.7050
2026-03-23,0.6888
2026-03-22,0.6718
2026-03-21,0.6538
2026-03-20,0.6348
2026-03-19,0.6696
2026-03-18,0.7063
2026-03-17,0.6902
2026-03-16,0.7280
2026-03-15,0.7131
2026-03-14,0.7521
2026-03-13,0.7933
2026-03-12,0.8368
2026-03-11,0.8278
2026-03-10,0.8184
2026-03-09,0.8085
2026-03-08,0.7980
2026-03-07,0.8417
2026-03-06,0.8330
2026-03-05,0.8239
2026-03-04,0.8142
2026-03-03,0.8040
2026-03-02,0.7933
2026-03-01,0.7820
2026-02-28,0.7700
2026-02-27,0.7574
2026-02-26,0.7989
2026-02-25,0.7879
2026-02-24,0.7763
2026-02-23,0.7641
2026-02-22,0.7511
2026-02-21,0.7923
2026-02-20,0.7809
2026-02-19,0.7689
2026-02-18,0.7562
2026-02-17,0.7429
2026-02-16,0.7288
2026-02-15,0.7687
2026-02-14,0.7560
2026-02-13,0.7427
2026-02-12,0.7286
2026-02-11,0.7685
2026-02-10,0.8106
2026-02-09,0.8002
2026-02-08,0.7893
2026-02-07,0.8325
2026-02-06,0.8233
2026-02-05,0.8136
2026-02-04,0.8034
2026-02-03,0.7927
2026-02-02,0.7813
2026-02-01,0.7693
2026-01-31,0.7567
2026-01-30,0.7434
2026-01-29,0.7293
2026-01-28,0.7145
2026-01-27,0.6989
2026-01-26,0.6824
2026-01-25,0.6650
2026-01-24,0.7014
2026-01-23,0.6851
2026-01-22,0.6678
2026-01-21,0.6496
2026-01-20,0.6304
2026-01-19,0.6649
2026-01-18,0.6466
2026-01-17,0.6272
2026-01-16,0.6068
2026-01-15,0.5853
2026-01-14,0.6173
2026-01-13,0.5964
2026-01-12,0.6291
2026-01-11,0.6635
2026-01-10,0.6451
2026-01-09,0.6804
2026-01-08,0.7177
2026-01-07,0.7022
2026-01-06,0.7407
2026-01-05,0.7812
2026-01-04,0.7692
2026-01-03,0.7566
2026-01-02,0.7433
2026-01-01,0.7840
2025-12-31,0.7722
2025-12-30,0.7597
2025-12-29,0.7465
2025-12-28,0.7874
2025-12-27,0.7758
2025-12-26,0.7635
2025-12-25,0.8053
2025-12-24,0.7946
2025-12-23,0.7834
2025-12-22,0.7715
2025-12-21,0.7590
2025-12-20,0.7458
2025-12-19,0.7319
2025-12-18,0.7720
2025-12-17,0.7595
2025-12-16,0.7463
2025-12-15,0.7324
2025-12-14,0.7725
2025-12-13,0.7601
2025-12-12,0.8017
2025-12-11,0.7908
2025-12-10,0.7794
2025-12-09,0.7673
2025-12-08,0.7545
2025-12-07,0.7411
2025-12-06,0.7817
2025-12-05,0.7697
2025-12-04,0.8119
2025-12-03,0.8016
2025-12-02,0.7907
2025-12-01,0.7792
2025-11-30,0.8219
2025-11-29,0.8122
2025-11-28,0.8019
2025-11-27,0.7910
2025-11-26,0.7796
2025-11-25,0.8223
2025-11-24,0.8126
2025-11-23,0.8023
2025-11-22,0.7915
2025-11-21,0.7800
2025-11-20,0.7680
2025-11-19,0.7553
2025-11-18,0.7419
2025-11-17,0.7277
2025-11-16,0.7128
2025-11-15,0.7519
2025-11-14,0.7383
2025-11-13,0.7787
2025-11-12,0.7666
2025-11-11,0.7538
2025-11-10,0.7951
2025-11-09,0.8387
2025-11-08,0.8298
2025-11-07,0.8205
2025-11-06,0.8107
2025-11-05,0.8003
2025-11-04,0.7894
2025-11-03,0.7778
2025-11-02,0.7657
2025-11-01,0.7528
2025-10-31,0.7393
2025-10-30,0.7250
2025-10-29,0.7099
2025-10-28,0.6941
2025-10-27,0.6773
2025-10-26,0.7144
2025-10-25,0.7535
2025-10-24,0.7400
2025-10-23,0.7258
2025-10-22,0.7108
2025-10-21,0.6949
2025-10-20,0.6782
2025-10-19,0.7154
2025-10-18,0.6998
2025-10-17,0.6833
2025-10-16,0.6660
2025-10-15,0.7025
2025-10-14,0.6862
2025-10-13,0.6690
2025-10-12,0.7056
2025-10-11,0.6895
2025-10-10,0.6725
2025-10-09,0.7093
2025-10-08,0.6934
2025-10-07,0.6766
2025-10-06,0.6589
2025-10-05,0.6950
2025-10-04,0.6783
2025-10-03,0.7154
2025-10-02,0.6998
2025-10-01,0.6834
2025-09-30,0.7208
2025-09-29,0.7055
2025-09-28,0.7442
2025-09-27,0.7302
2025-09-26,0.7154
2025-09-25,0.6998
2025-09-24,0.6834
2025-09-23,0.6660
2025-09-22,0.6477
2025-09-21,0.6284
2025-09-20,0.6081
2025-09-19,0.5866
2025-09-18,0.5640
2025-09-17,0.5401
2025-09-16,0.5149
2025-09-15,0.4883
2025-09-14,0.4603
2025-09-13,0.4308
2025-09-12,0.3996
2025-09-11,0.3667
2025-09-10,0.3320
2025-09-09,0.3502
2025-09-08,0.3694
2025-09-07,0.3896
2025-09-06,0.3562
2025-09-05,0.3209
2025-09-04,0.3385
2025-09-03,0.3571
2025-09-02,0.3218
2025-09-01,0.3395
2025-08-31,0.3581
2025-08-30,0.3777
2025-08-29,0.3436
2025-08-28,0.3624
2025-08-27,0.3823
2025-08-26,0.3484
2025-08-25,0.3675
2025-08-24,0.3876
2025-08-23,0.4089
2025-08-22,0.4313
2025-08-21,0.4549
2025-08-20,0.4250
2025-08-19,0.3935
2025-08-18,0.4151
2025-08-17,0.3830
2025-08-16,0.4040
2025-08-15,0.4262
2025-08-14,0.4495
2025-08-13,0.4193
2025-08-12,0.3875
2025-08-11,0.4088
2025-08-10,0.4312
2025-08-09,0.4000
2025-08-08,0.3671
2025-08-07,0.3872
2025-08-06,0.3537
2025-08-05,0.3731
2025-08-04,0.3935
2025-08-03,0.4150
2025-08-02,0.3830
2025-08-01,0.3492
2025-07-31,0.3683
2025-07-30,0.3337
2025-07-29,0.3520
2025-07-28,0.3713
2025-07-27,0.3916
2025-07-26,0.4131
2025-07-25,0.4357
2025-07-24,0.4596
2025-07-23,0.4847
2025-07-22,0.5113
2025-07-21,0.5393
2025-07-20,0.5688
2025-07-19,0.5452
2025-07-18,0.5203
2025-07-17,0.5488
2025-07-16,0.5241
2025-07-15,0.4980
2025-07-14,0.4705
2025-07-13,0.4415
2025-07-12,0.4657
2025-07-11,0.4364
2025-07-10,0.4603
2025-07-09,0.4308
2025-07-08,0.4544
2025-07-07,0.4793
2025-07-06,0.5055
2025-07-05,0.5332
2025-07-04,0.5076
2025-07-03,0.4807
2025-07-02,0.4522
2025-07-01,0.4222
2025-06-30,0.4454
2025-06-29,0.4697
2025-06-28,0.4407
2025-06-27,0.4101
2025-06-26,0.3778
2025-06-25,0.3984
2025-06-24,0.4203
2025-06-23,0.3885
2025-06-22,0.4098
2025-06-21,0.4322
2025-06-20,0.4011
2025-06-19,0.4231
2025-06-18,0.3915
2025-06-17,0.4130
2025-06-16,0.4356
2025-06-15,0.4047
2025-06-14,0.4268
2025-06-13,0.3954
2025-06-12,0.4171
2025-06-11,0.3852
2025-06-10,0.4063
2025-06-09,0.4285
2025-06-08,0.4520
2025-06-07,0.4767
2025-06-06,0.4481
2025-06-05,0.4726
2025-06-04,0.4437
2025-06-03,0.4681
2025-06-02,0.4937
2025-06-01,0.5207
2025-05-31,0.5492
2025-05-30,0.5246
2025-05-29,0.5533
2025-05-28,0.5288
2025-05-27,0.5030
2025-05-26,0.4758
2025-05-25,0.4471
2025-05-24,0.4716
2025-05-23,0.4974
2025-05-22,0.4699
2025-05-21,0.4408
2025-05-20,0.4650
2025-05-19,0.4904
2025-05-18,0.5173
2025-05-17,0.4909
2025-05-16,0.4630
2025-05-15,0.4336
2025-05-14,0.4026
2025-05-13,0.3698
2025-05-12,0.3901
2025-05-11,0.3567
2025-05-10,0.3215
2025-05-09,0.2843
2025-05-08,0.2999
2025-05-07,0.3163
2025-05-06,0.3336
2025-05-05,0.3519
2025-05-04,0.3711
2025-05-03,0.3915
2025-05-02,0.3581
2025-05-01,0.3778
2025-04-30,0.3984
2025-04-29,0.4203
2025-04-28,0.4433
2025-04-27,0.4676
2025-04-26,0.4932
2025-04-25,0.4654
2025-04-24,0.4361
2025-04-23,0.4053
2025-04-22,0.4274
2025-04-21,0.3961
2025-04-20,0.4178
2025-04-19,0.4407
2025-04-18,0.4100
2025-04-17,0.4325
2025-04-16,0.4014
2025-04-15,0.4234
2025-04-14,0.3918
2025-04-13,0.4133
2025-04-12,0.4359
2025-04-11,0.4050
2025-04-10,0.3724
2025-04-09,0.3381
2025-04-08,0.3566
2025-04-07,0.3761
2025-04-06,0.3967
2025-04-05,0.4184
2025-04-04,0.4413
2025-04-03,0.4655
2025-04-02,0.4910
2025-04-01,0.5179
