Date,Value,Notes
2026-04-02,YES_MANUAL,
2026-04-01,YES_MANUAL,
2026-03-28,YES_MANUAL,
2026-02-25,YES_MANUAL,
2026-02-21,YES_MANUAL,
2026-02-18,NO,
2026-02-15,YES_MANUAL,
2026-02-14,YES_MANUAL,
2026-02-10,YES_MANUAL,
2026-02-07,YES_MANUAL,
2026-02-03,YES_MANUAL,
2026-01-27,YES_MANUAL,
2026-01-23,YES_MANUAL,
2026-01-16,YES_MANUAL,
2026-01-11,YES_MANUAL,
2025-12-27,YES_MANUAL,
2025-12-25,YES_MANUAL,
2025-12-21,YES_MANUAL,
2025-12-20,YES_MANUAL,
2025-12-17,YES_MANUAL,
2025-12-11,YES_MANUAL,
2025-12-09,YES_MANUAL,
2025-12-04,YES_MANUAL,
2025-12-02,YES_MANUAL,
2025-11-29,YES_MANUAL,
2025-11-27,YES_MANUAL,
2025-11-21,YES_MANUAL,
2025-11-20,YES_MANUAL,
2025-11-19,YES_MANUAL,
2025-11-15,YES_MANUAL,
2025-11-12,YES_MANUAL,
2025-11-01,YES_MANUAL,
2025-10-29,YES_MANUAL,
2025-10-28,YES_MANUAL,
2025-10-25,YES_MANUAL,
2025-10-19,YES_MANUAL,
2025-10-11,YES_MANUAL,
2025-10-09,YES_MANUAL,
2025-10-02,YES_MANUAL,
2025-09-27,YES_MANUAL,
2025-09-25,YES_MANUAL,
2025-09-24,YES_MANUAL,
2025-09-21,YES_MANUAL,
2025-09-19,YES_MANUAL,
2025-09-14,YES_MANUAL,
2025-09-13,YES_MANUAL,
2025-09-12,YES_MANUAL,
2025-08-21,YES_MANUAL,
2025-08-20,YES_MANUAL,
2025-08-10,YES_MANUAL,
2025-07-17,YES_MANUAL,
2025-07-12,YES_MANUAL,
2025-06-28,YES_MANUAL,
2025-06-14,YES_MANUAL,
2025-05-31,YES_MANUAL,
2025-05-17,YES_MANUAL,
2025-05-03,YES_MANUAL,
2025-05-01,NO,
2025-04-19,YES_MANUAL,
2025-04-12,YES_MANUAL,
2025-04-11,YES_MANUAL,
2025-04-10,YES_MANUAL,
2025-03-25,YES_MANUAL,
2025-03-22,YES_MANUAL,
2025-03-19,YES_MANUAL,
2025-03-13,YES_MANUAL,
2025-03-12,YES_MANUAL,
2025-02-20,YES_MANUAL,
2025-02-19,YES_MANUAL,
2025-02-08,YES_MANUAL,
2025-02-06,YES_MANUAL,
2025-01-21,YES_MANUAL,
2025-01-20,YES_MANUAL,
2025-01-19,YES_MANUAL,
2024-12-21,YES_MANUAL,
2024-12-20,YES_MANUAL,
2024-12-19,YES_MANUAL,
2024-12-18,YES_MANUAL,
2024-12-15,YES_MANUAL,
2024-12-14,YES_MANUAL,
2024-12-13,YES_MANUAL,
2024-12-10,NO,
2024-12-08,YES_MANUAL,
2024-11-18,YES_MANUAL,
2024-11-09,YES_MANUAL,
2024-10-31,YES_MANUAL,
2024-10-28,YES_MANUAL,
2024-10-27,YES_MANUAL,
2024-10-19,YES_MANUAL,
2024-10-15,YES_MANUAL,
2024-10-12,YES_MANUAL,
2024-10-06,YES_MANUAL,
2024-10-05,YES_MANUAL,
2024-10-04,YES_MANUAL,
2024-09-29,YES_MANUAL,
2024-09-28,YES_MANUAL,
2024-09-26,YES_MANUAL,
2024-09-24,YES_MANUAL,
2024-09-22,YES_MANUAL,
2024-09-21,YES_MANUAL,
2024-09-20,YES_MANUAL,
2024-09-19,YES_MANUAL,
2024-09-18,YES_MANUAL,
2024-09-17,YES_MANUAL,
2024-09-15,YES_MANUAL,
2024-09-14,YES_MANUAL,
2024-08-31,YES_MANUAL,
2024-08-22,YES_MANUAL,
2024-08-18,YES_MANUAL,
2024-08-15,YES_MANUAL,
2024-08-14,YES_MANUAL,
2024-08-13,YES_MANUAL,
