Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1475582,2020-12-09,2020-12-09,,"Sherlock","Sherlock",https://www.imdb.com/title/tt1475582/,TV Series,9.0,90,2010,"Crime, Drama, Mystery, Thriller",1085524,2010-10-24,,9,2020-12-09
2,tt0412142,2020-12-09,2020-12-09,,"House","House M.D.",https://www.imdb.com/title/tt0412142/,TV Series,8.7,45,2004,"Drama",590553,2004-11-16,,10,2020-12-09
3,tt0108778,2020-12-09,2020-12-09,,"Friends","Friends",https://www.imdb.com/title/tt0108778/,TV Series,8.8,22,1994,"Comedy, Romance",1188525,1994-09-22,,7,2022-01-09
4,tt0460649,2020-12-09,2020-12-09,,"How I Met Your Mother","How I Met Your Mother",https://www.imdb.com/title/tt0460649/,TV Series,8.3,22,2005,"Comedy, Drama, Romance",779912,2005-09-19,,8,2020-12-09
5,tt1837492,2020-12-09,2020-12-09,,"13 Reasons Why","13 Reasons Why",https://www.imdb.com/title/tt1837492/,TV Series,7.4,60,2017,"Drama, Mystery, Thriller",338757,2017-03-31,,6,2020-12-09
6,tt2364582,2020-12-09,2020-12-09,,"Agents of S.H.I.E.L.D.","Agents of S.H.I.E.L.D.",https://www.imdb.com/title/tt2364582/,TV Series,7.5,45,2013,"Action, Adventure, Sci-Fi, Thriller",234870,2013-09-24,,6,2020-12-09
7,tt2261227,2020-12-09,2020-12-09,,"Altered Carbon","Altered Carbon",https://www.imdb.com/title/tt2261227/,TV Series,7.9,60,2018,"Action, Adventure, Drama, Sci-Fi",201776,2018-02-02,,7,2020-12-09
8,tt2193021,2020-12-09,2020-12-09,,"Arrow","Arrow",https://www.imdb.com/title/tt2193021/,TV Series,7.5,42,2012,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",460478,2012-10-10,,6,2020-12-09
9,tt4474344,2020-12-09,2020-12-09,,"Blindspot","Blindspot",https://www.imdb.com/title/tt4474344/,TV Series,7.3,42,2015,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",85664,2015-09-21,,5,2022-07-08
10,tt1439629,2020-12-09,2020-12-09,,"Community","Community",https://www.imdb.com/title/tt1439629/,TV Series,8.5,22,2009,"Comedy",310412,2009-09-17,,7,2020-12-09
11,tt4643084,2020-12-09,2020-12-09,,"Counterpart","Counterpart",https://www.imdb.com/title/tt4643084/,TV Series,8.0,60,2017,"Drama, Sci-Fi, Thriller",34427,2017-12-10,,8,2020-12-09
12,tt0452046,2020-12-09,2020-12-09,,"Criminal Minds","Criminal Minds",https://www.imdb.com/title/tt0452046/,TV Series,8.1,42,2005,"Crime, Drama, Mystery, Thriller",238709,2005-09-22,,9,2023-06-06
13,tt6470478,2020-12-09,2020-12-09,,"The Good Doctor","The Good Doctor",https://www.imdb.com/title/tt6470478/,TV Series,8.0,45,2017,"Drama",129631,2017-09-25,,7,2021-12-08
14,tt7768192,2020-12-09,2020-12-09,,"Dublin Murders","Dublin Murders",https://www.imdb.com/title/tt7768192/,TV Series,7.1,60,2019,"Crime, Drama, Mystery, Thriller",13883,2019-11-10,,7,2020-12-09
15,tt9863788,2020-12-09,2020-12-09,,"El juego de las llaves","El juego de las llaves",https://www.imdb.com/title/tt9863788/,TV Series,6.4,30,2019,"Comedy, Drama, Romance",2763,2019-08-16,,5,2020-12-09
16,tt8667956,2020-12-09,2020-12-09,,"Freud","Freud",https://www.imdb.com/title/tt8667956/,TV Series,6.5,55,2020,"Crime, Thriller",14070,2020-03-23,,3,2021-12-08
17,tt0944947,2020-12-09,2020-12-09,,"Game of Thrones","Game of Thrones",https://www.imdb.com/title/tt0944947/,TV Series,9.2,60,2011,"Action, Adventure, Drama, Fantasy",2602944,2011-04-17,,8,2020-12-09
18,tt7948998,2020-12-09,2020-12-09,,"God Friended Me","God Friended Me",https://www.imdb.com/title/tt7948998/,TV Series,7.0,43,2018,"Comedy, Drama, Fantasy, Mystery",7917,2018-09-30,,4,2020-12-09
19,tt7820906,2020-12-09,2020-12-09,,"Good Trouble","Good Trouble",https://www.imdb.com/title/tt7820906/,TV Series,7.5,45,2019,"Comedy, Drama",10613,2019-01-08,,6,2020-12-09
20,tt2243973,2020-12-09,2020-12-09,,"Hannibal","Hannibal",https://www.imdb.com/title/tt2243973/,TV Series,8.5,45,2013,"Crime, Drama, Horror, Mystery, Thriller",307631,2013-04-04,,9,2020-12-09
21,tt1856010,2020-12-09,2020-12-09,,"House of Cards","House of Cards",https://www.imdb.com/title/tt1856010/,TV Series,8.6,50,2013,"Drama, Thriller",558432,2013-02-01,,8,2020-12-09
22,tt2693776,2020-12-09,2020-12-09,,"Intelligence","Intelligence",https://www.imdb.com/title/tt2693776/,TV Series,6.8,,2014,"Action, Drama, Sci-Fi, Thriller",20363,2014-01-07,,5,2020-12-09
23,tt5114356,2020-12-09,2020-12-09,,"Legion","Legion",https://www.imdb.com/title/tt5114356/,TV Series,8.1,60,2017,"Action, Sci-Fi, Thriller",103382,2017-02-08,,7,2020-12-09
24,tt6021284,2020-12-09,2020-12-09,,"Liar","Liar",https://www.imdb.com/title/tt6021284/,TV Series,7.1,45,2017,"Crime, Drama, Thriller",12122,2017-09-27,,7,2020-12-09
25,tt1235099,2020-12-09,2020-12-09,,"Lie to Me","Lie to Me",https://www.imdb.com/title/tt1235099/,TV Series,8.0,43,2009,"Crime, Drama, Mystery, Thriller",134874,2009-01-21,,7,2020-12-09
